scope,group,metric,n,blocks,mean,std,median,q25,q75,positive_fraction,negative_fraction,ci_low,ci_high
condition,brightness:0.8,student_response_norm_median,48,16,0.11053951573412901,0.058448940392601775,0.09880448662646661,0.0929241021886481,0.10921682519517052,1.0,0.0,0.09537081176496001,0.10307360889593095
condition,brightness:0.8,teacher_response_norm_median,48,16,0.06102839175555932,0.0039926694262559055,0.06079738207468896,0.05742639237409187,0.0645877300047838,1.0,0.0,0.05797170800324776,0.06393274591138112
condition,brightness:0.8,cos_static_mean,48,16,0.6460242982108432,0.03375031744237284,0.649755616820835,0.6224638687428103,0.663830997662258,1.0,0.0,0.6323229281542622,0.6585244780389861
condition,brightness:0.8,cos_response_mean,48,16,0.002904670823497738,0.014068133966293615,0.0022981100972456875,-0.008710202338228046,0.014217021683317212,0.5625,0.4375,-0.0025555907268563893,0.008464393663259483
condition,brightness:0.8,response_grad_Z,48,16,0.4973935940642605,0.09016664892421154,0.5149914676084991,0.4572163672846234,0.5479039725329794,1.0,0.0,0.4932194773330987,0.5434444954623477
condition,brightness:0.8,response_grad_P4,48,16,0.36519552860043003,0.05401939158969706,0.36749770871677334,0.34164247353935473,0.3965640571906285,1.0,0.0,0.3580514958644589,0.38751120406283673
condition,contrast:0.5,A_Z,48,16,28.807024850645547,6.231554982388427,29.17095039695545,25.72630230656076,33.51007828750048,1.0,0.0,27.113466409383932,30.690037574946878
condition,contrast:0.5,A_Z_single,48,16,20.369642617700855,4.406374785383673,20.62697683934361,18.191242815824232,23.695203595183674,1.0,0.0,19.17211595954905,21.701133684114883
condition,contrast:0.5,A_P4,48,16,26.999537263174318,6.199701316868594,26.98773099263164,24.109769248632013,30.117566750133577,1.0,0.0,24.92342809319554,28.930903531941244
condition,contrast:0.5,projector_transfer_ratio,48,16,0.9418030888894625,0.07436072392842451,0.933873874846636,0.9004470291784211,0.977180280811161,1.0,0.0,0.9162529431269693,0.9650107139851718
condition,contrast:0.5,G_norm,48,16,15.178914199989016,3.03869993461423,15.504885858073983,13.782816428269383,17.10675505293375,1.0,0.0,14.667553658405872,16.1549957552083
condition,contrast:0.5,G_angle,48,16,1.33848880168092,0.05604350121847193,1.3341208319004225,1.3110645585575664,1.3670544055123304,1.0,0.0,1.3202761087830976,1.34835756795135
condition,contrast:0.5,dominance_margin,48,16,2.0362137824935433,0.3748380165648247,2.098669940222358,2.0125065783157727,2.187736247441138,0.9791666666666666,0.020833333333333332,2.039711074382838,2.158360889687489
condition,contrast:0.5,student_static_norm_median,48,16,3.863924959457895,0.23600377283942744,3.8765677714285554,3.6503057937129615,4.019542327524412,1.0,0.0,3.824416394681748,3.913409956040851
condition,contrast:0.5,student_response_norm_median,48,16,0.34312662312782233,0.31460115062527144,0.2900238965831087,0.26327013746672934,0.32515720085160693,1.0,0.0,0.27386793046464275,0.30363554107093005
condition,contrast:0.5,teacher_response_norm_median,48,16,0.17133930987072862,0.01409756636208591,0.16945513647422994,0.1601454873767179,0.1810996212643527,1.0,0.0,0.16154734572734142,0.17868831510133537
condition,contrast:0.5,cos_static_mean,48,16,0.6536610298919561,0.030500735692859545,0.6577041433288577,0.6308706755627582,0.6698671713486244,1.0,0.0,0.6425820723632248,0.6657746897745485
condition,contrast:0.5,cos_response_mean,48,16,-0.0071801264574995775,0.01829411469094601,-0.004423141077345121,-0.01723291917212191,0.004774726460937267,0.3958333333333333,0.6041666666666666,-0.012539509828281658,0.0013443120131091488
condition,contrast:0.5,response_grad_Z,48,16,0.1752318096099542,0.03441271163134297,0.17954830781085757,0.1660025518901017,0.19528369567103618,1.0,0.0,0.17204487960650658,0.19004284489656584
condition,contrast:0.5,response_grad_P4,48,16,0.12620447187849307,0.025643690841736913,0.12678163454697533,0.10777934056404681,0.14255315148160427,1.0,0.0,0.12249189564651508,0.13961692504436152
condition,contrast:0.75,A_Z,48,16,52.67964743967887,12.124705932929569,55.09791517821461,46.02778390140598,59.68377895272921,1.0,0.0,47.41657897408524,58.52285994748578
condition,contrast:0.75,A_Z_single,48,16,37.25013593511347,8.573461785067263,38.96010945175675,32.546558119673165,42.202804824313766,1.0,0.0,33.52858453324314,41.38191112329779
condition,contrast:0.75,A_P4,48,16,50.03213850287931,12.437685720463117,50.83502444009437,43.414424985929465,56.92733108000629,1.0,0.0,44.01246900543848,55.93288874100272
condition,contrast:0.75,projector_transfer_ratio,48,16,0.9472249822943625,0.05187415272342318,0.9531745584250368,0.9128467905568707,0.9783916383888517,1.0,0.0,0.9386761816285332,0.9676178499722959
condition,contrast:0.75,G_norm,48,16,27.830204831768203,6.068125096923958,27.99258381498663,24.494183165043722,31.490470204672214,1.0,0.0,26.144625249749335,30.581222721362348
condition,contrast:0.75,G_angle,48,16,1.3350854464539044,0.05763247950341913,1.3288430824076851,1.2992860064589786,1.3644655791246922,1.0,0.0,1.3155447523234285,1.3455742346023831
condition,contrast:0.75,dominance_margin,48,16,2.648588600616104,0.3284726276525125,2.7108468073470564,2.571238784850954,2.8078449235423575,1.0,0.0,2.6084304366711017,2.7668257669293324
condition,contrast:0.75,student_static_norm_median,48,16,3.885078680007727,0.27541137588191406,3.877601419848235,3.643155047992826,4.028528279066389,1.0,0.0,3.8389794201540117,3.918260181961956
condition,contrast:0.75,student_response_norm_median,48,16,0.1833096897896864,0.1556860547138274,0.15709985140687655,0.1381362523386165,0.17094194498736084,1.0,0.0,0.14777991970049614,0.16851982806539584
condition,contrast:0.75,teacher_response_norm_median,48,16,0.08854005697370886,0.008392412117265708,0.08838792685903765,0.08219809701424494,0.09314517619923843,1.0,0.0,0.08249015516467982,0.09259037187703355
condition,contrast:0.75,cos_static_mean,48,16,0.6499950841730362,0.031149268611776842,0.6528583126373769,0.6248028844617302,0.667113857948236,1.0,0.0,0.6356623790949045,0.6623571320574851
condition,contrast:0.75,cos_response_mean,48,16,-0.003198998073355705,0.017192932304131013,-0.0044658905621614165,-0.013192757120196342,0.007332865185779671,0.4375,0.5625,-0.008255049743938803,0.005551633300418482
condition,contrast:0.75,response_grad_Z,48,16,0.3202576648712103,0.06940432230573075,0.32289179637657045,0.29739810107516107,0.3639888245451781,1.0,0.0,0.3050973051586169,0.3417667786984265
condition,contrast:0.75,response_grad_P4,48,16,0.23215272521814379,0.05037102939929763,0.2331622042677608,0.19653067396527982,0.263822030727778,1.0,0.0,0.2147173746506304,0.2557520296740684
condition,gaussian_blur:1.0,A_Z,48,16,17.1811065535608,3.3082823647568147,17.10959841657945,16.305320692398972,19.157374797054374,1.0,0.0,16.663008389061286,18.297184376011955
condition,gaussian_blur:1.0,A_Z_single,48,16,12.148876952311474,2.339308894199411,12.098313063741944,11.529602831016645,13.546309628729407,1.0,0.0,11.782526226873564,12.938063148898602
condition,gaussian_blur:1.0,A_P4,48,16,16.07314954051189,3.3420370770393317,16.87776204445437,14.862170871040188,17.60718302197104,1.0,0.0,15.752168554186461,17.056101721585154
condition,gaussian_blur:1.0,projector_transfer_ratio,48,16,0.9316917236942333,0.060177991896753345,0.9462824794336585,0.903448610413982,0.9746426989693782,1.0,0.0,0.9164476023179156,0.9575524329757099
condition,gaussian_blur:1.0,G_norm,48,16,9.113764327337085,1.5848633957269695,9.412968219708205,8.793154063333223,10.009244597342686,1.0,0.0,8.872582300322964,9.67541365629404
condition,gaussian_blur:1.0,G_angle,48,16,1.3283041249508758,0.060926221149534894,1.3279717628645207,1.2981372497531174,1.3542710070523456,1.0,0.0,1.3127048359927795,1.3413619887026866
condition,gaussian_blur:1.0,dominance_margin,48,16,1.5589427966798084,0.20526397134828325,1.6108039919053847,1.5485936458376277,1.6604116881175122,1.0,0.0,1.5540719563406198,1.6543473434307505
condition,gaussian_blur:1.0,student_static_norm_median,48,16,3.915870303508115,0.36537140922981076,3.870345260722827,3.6841027641770876,4.034035776753799,1.0,0.0,3.836118036416166,3.922825184865861
